 ,No-brainer keywords,Keywords as separate words (simulated in tool),Negative keywords,Keyword research status,Status,Headline,Icon Pages,Link pointing to,Cilckable link,Bottom-text,Icon page created?,Text in plugin,,Comments
Gaming,"gaming, games, playstation, xbox, nintendo, casino, poker, blackjack, gambling, ludico","ps2, ps3, ps4, ludo",,Done,Please integrate into plugin,Is your site about gaming?,https://www.ultimatelysocial.com/gaming-themed-icons/,https://www.ultimatelysocial.com/Gaming-themed-icons/?utm_source=any_settings_page&utm_campaign=Gaming_icons&utm_medium=banner,https://www.ultimatelysocial.com/Gaming-themed-icons/?utm_source=any_settings_page&utm_campaign=Gaming_icons&utm_medium=banner,See all games-themed-icons >,,,,
Literature,"literature, literatures","book, books, novel, novels, reading","booklet, booklets, facebook, ouchbook, sketchbook, sketchbooks, notebook, notebooks, bookkeeper, bookkeepers, bookeeper, bookeepers, chromebook, chromebooks, scrapbook, scrapbooks, novelty",Done,Please integrate into plugin,Are you a bookworm?,https://www.ultimatelysocial.com/literature-themed-icons/,https://www.ultimatelysocial.com/Literature-themed-icons/?utm_source=any_settings_page&utm_campaign=Literature_icons&utm_medium=banner,https://www.ultimatelysocial.com/Literature-themed-icons/?utm_source=any_settings_page&utm_campaign=Literature_icons&utm_medium=banner,See all book-themed-icons >,,,,
Religion,"jesus, buddha, church, churches, mosque, islam, muslim, quran, shinto, buddhism, buddhist, buddhists, muslims, catholic, catholics, christians, hebrew, hebrews, priest, priesthood, priests, judaism, judaists, judahist, mormon, mormons, judaica, shabbat, tanakh, torah, torahs, tanakhs, shabbats, testament, newtestament, oldtestament, ramadan, baptist, baptists","god, gods, christ, faith","godaddy, godfather, godfathers, godmother, godmothers, godmom, christmas, christabel",Done,Please integrate into plugin,Is your site about religion?,https://www.ultimatelysocial.com/religion-themed-icons/,https://www.ultimatelysocial.com/Religion-themed-icons/?utm_source=any_settings_page&utm_campaign=Religion_icons&utm_medium=banner,https://www.ultimatelysocial.com/Religion-themed-icons/?utm_source=any_settings_page&utm_campaign=Religion_icons&utm_medium=banner,See all religion-themed-icons >,,,,
Art-Design,"Artist, artists, design, designer, illustration, illustrations, crafting, artista, illustrator, creative, painting, painter, paint,","craft, crafts, crafty, printing, art, arts","minecraft, warcraft, aircraft, singcraft, witchcraft, imprinting, stuttgart, smart, heart, hearts, start, starts. smarts, martha, apartamentre. stewart, stewarts, mart, marts, dart, darts, artrite",Done,Please integrate into plugin,Is your site about art or design?,https://www.ultimatelysocial.com/art-design-themed-icons/,https://www.ultimatelysocial.com/Art-Design-themed-icons/?utm_source=any_settings_page&utm_campaign=Art-Design_icons&utm_medium=banner,https://www.ultimatelysocial.com/Art-Design-themed-icons/?utm_source=any_settings_page&utm_campaign=Art-Design_icons&utm_medium=banner,See all art/design-themed-icons >,,,,
Fashion,"fashion, fashionista, clothes, clothing, shoes, gown, gowns,dressage, makeup, apparels, apparel, leather, shirt,"," dress, dresses, wear, mode, moda","dressing, address",Done,Please integrate into plugin,Is your site about fashion?,https://www.ultimatelysocial.com/fashion-themed-icons/,https://www.ultimatelysocial.com/Fashion-themed-icons/?utm_source=any_settings_page&utm_campaign=Fashion_icons&utm_medium=banner,https://www.ultimatelysocial.com/Fashion-themed-icons/?utm_source=any_settings_page&utm_campaign=Fashion_icons&utm_medium=banner,See all beauty/fashion-themed-icons >,,,,
Health,"doctor, clinic, medicine, wellness, clinica, healthcare, dentist, dental, surgeon, surgery, pharmacy, farmacy, klinik","health, pharma",,Done,Please integrate into plugin,Is your site about health?,https://www.ultimatelysocial.com/health-themed-icons/,https://www.ultimatelysocial.com/Health-themed-icons/?utm_source=any_settings_page&utm_campaign=Health_icons&utm_medium=banner,https://www.ultimatelysocial.com/Health-themed-icons/?utm_source=any_settings_page&utm_campaign=Health_icons&utm_medium=banner,See all health-themed-icons >,,,,
Animals,"wildlife, fauna, animals,animal, zoology",,,Done,Please integrate into plugin,Do you like animals?,https://www.ultimatelysocial.com/animals-themed-icons/,https://www.ultimatelysocial.com/Animals-themed-icons/?utm_source=any_settings_page&utm_campaign=Animals_icons&utm_medium=banner,,See all animals-themed-icons >,,,,
Database,"mysql, query, newsql, nosql",sql,,Done,Please integrate into plugin,Are you into big data?,https://www.ultimatelysocial.com/database-themed-icons/,https://www.ultimatelysocial.com/Database-themed-icons/?utm_source=any_settings_page&utm_campaign=Database_icons&utm_medium=banner,https://www.ultimatelysocial.com/Database-themed-icons/?utm_source=any_settings_page&utm_campaign=Database_icons&utm_medium=banner,,,,,
Flowers,"flower, flowering,orchid, floreal, roses, blossom, infloressence, effloressence, flowete","floret, florets, fiore, fiori,","floretta, fiorello, fiorella, fioretta, fioretto",Done,Please integrate into plugin,Do you like flowers?,https://www.ultimatelysocial.com/flower-themed-icons/,https://www.ultimatelysocial.com/Flowers-themed-icons/?utm_source=any_settings_page&utm_campaign=Flowers_icons&utm_medium=banner,https://www.ultimatelysocial.com/Flowers-themed-icons/?utm_source=any_settings_page&utm_campaign=Flowers_icons&utm_medium=banner,,,,,
Shoes,"sneaker, sneakers, moccassin, moccassins, sandal, sandals, footwear, footgear, footgears","shoe, shoes, slippers","horseshoe, horseshoes, slippery",Done,Please integrate into plugin,Do you like Shoes?,https://www.ultimatelysocial.com/shoes-themed-icons/,https://www.ultimatelysocial.com/Shoes-themed-icons/?utm_source=any_settings_page&utm_campaign=Shoes_icons&utm_medium=banner,https://www.ultimatelysocial.com/Shoes-themed-icons/?utm_source=any_settings_page&utm_campaign=Shoes_icons&utm_medium=banner,,,,,
Agriculture,"agriculture, agricultural, agrarian, agriturismo, agrario, agricoltore, agricoltore, agricolo, agricoli, farmboy, farmgirl, farmer, farmers, harvest, harvesting, farmhouse","farm, farms","farmacy, farmacia, farmacie. farmington, bakefarm, farmshop",Done,Please integrate into plugin,Is your site about agriculture / rural life?,https://www.ultimatelysocial.com/agriculture-themed-icons/,https://www.ultimatelysocial.com/Agriculture-themed-icons/?utm_source=any_settings_page&utm_campaign=Agriculture_icons&utm_medium=banner,https://www.ultimatelysocial.com/Agriculture-themed-icons/?utm_source=any_settings_page&utm_campaign=Agriculture_icons&utm_medium=banner,,,,,
Theatre,"theatre, theatres, broadway, dramaturgy, dramaturgies, theatrics. teatre, machaka, dance, dancing, dancer, teatre","opera, operas","operabrowser, operator, operators, operated",Done,Please integrate into plugin,Do you love Theatre?,https://www.ultimatelysocial.com/theatre-themed-icons/,https://www.ultimatelysocial.com/Theatre-themed-icons/?utm_source=any_settings_page&utm_campaign=Theatre_icons&utm_medium=banner,https://www.ultimatelysocial.com/Theatre-themed-icons/?utm_source=any_settings_page&utm_campaign=Theatre_icons&utm_medium=banner,,,,,
Beauty,"beauty, skincare, salon","spa, spas, nail, nails","newspaper, space, spaghetti, spasetti, thumbnail, thumbnails",Done,Please integrate into plugin,Your site is all about beauty?,https://www.ultimatelysocial.com/beauty-themed-icons/,https://www.ultimatelysocial.com/Beauty-themed-icons/?utm_source=any_settings_page&utm_campaign=Beauty_icons&utm_medium=banner,https://www.ultimatelysocial.com/Beauty-themed-icons/?utm_source=any_settings_page&utm_campaign=Beauty_icons&utm_medium=banner,,,,,
Holidays,"holiday, holidays, vaction, vacations, vacationer, hostel, hotel",,,Done,Please integrate into plugin,Is your site about vacations and holidays?,https://www.ultimatelysocial.com/holidays-themed-icons/,https://www.ultimatelysocial.com/Holidays-themed-icons/?utm_source=any_settings_page&utm_campaign=Holidays_icons&utm_medium=banner,https://www.ultimatelysocial.com/Holidays-themed-icons/?utm_source=any_settings_page&utm_campaign=Holidays_icons&utm_medium=banner,,,,,
Golf,"Golf, Golfer,",pga,,Done,Please integrate into plugin,Are you a golf fan?,https://www.ultimatelysocial.com/golf-themed-icons/,https://www.ultimatelysocial.com/Golf-themed-icons/?utm_source=any_settings_page&utm_campaign=Golf_icons&utm_medium=banner,https://www.ultimatelysocial.com/Golf-themed-icons/?utm_source=any_settings_page&utm_campaign=Golf_icons&utm_medium=banner,,,,,
Cricket,,Cricket,Crickets,Done,Please integrate into plugin,Are you a cricket fanatic?,https://www.ultimatelysocial.com/cricket-themed-icons/,https://www.ultimatelysocial.com/Cricket-themed-icons/?utm_source=any_settings_page&utm_campaign=Cricket_icons&utm_medium=banner,https://www.ultimatelysocial.com/Cricket-themed-icons/?utm_source=any_settings_page&utm_campaign=Cricket_icons&utm_medium=banner,,,,,
Motorsports,"rally, rallye, motoGP","Formula1, F1, Grand Prix, Fia",,Done,Please integrate into plugin,Are you into motorsports?,https://www.ultimatelysocial.com/motorsports-themed-icons/,https://www.ultimatelysocial.com/Motorsports-themed-icons/?utm_source=any_settings_page&utm_campaign=Motorsports_icons&utm_medium=banner,https://www.ultimatelysocial.com/Motorsports-themed-icons/?utm_source=any_settings_page&utm_campaign=Motorsports_icons&utm_medium=banner,,,,,
Baseball,"baseball, baseballs, homerun, homeruns",,,Done,Please integrate into plugin,Are you a baseball fanatic?,https://www.ultimatelysocial.com/baseball-themed-icons/,https://www.ultimatelysocial.com/Baseball-themed-icons/?utm_source=any_settings_page&utm_campaign=Baseball_icons&utm_medium=banner,https://www.ultimatelysocial.com/Baseball-themed-icons/?utm_source=any_settings_page&utm_campaign=Baseball_icons&utm_medium=banner,,,,,
Martial-Arts,"kungfu, karate, martialarts, martial-arts, mma, kickboxing, muaythai, muay-thai, kempo, martial-artist, martialartist, judo, jujitsu","mma, ufc",,Done,Please integrate into plugin,Are you into martial arts?,https://www.ultimatelysocial.com/martial-arts-themed-icons/,https://www.ultimatelysocial.com/Martial-Arts-themed-icons/?utm_source=any_settings_page&utm_campaign=Martial-Arts_icons&utm_medium=banner,https://www.ultimatelysocial.com/Martial-Arts-themed-icons/?utm_source=any_settings_page&utm_campaign=Martial-Arts_icons&utm_medium=banner,,,,,
Sky-Diving,"skydiving, skydiver, skydivers, sky-diving, sky-diver, sky-divers, parachute, parachuting",,,Done,Please integrate into plugin,Are you into sky diving?,https://www.ultimatelysocial.com/sky-diving-themed-icons/,https://www.ultimatelysocial.com/Sky-Diving-themed-icons/?utm_source=any_settings_page&utm_campaign=Sky-Diving_icons&utm_medium=banner,https://www.ultimatelysocial.com/Sky-Diving-themed-icons/?utm_source=any_settings_page&utm_campaign=Sky-Diving_icons&utm_medium=banner,,,,,
American-Football,"americanfootball, gridiron","NFL, NCAA",,Done,Please integrate into plugin,Are you an american football fan?,https://www.ultimatelysocial.com/american-football-themed-icons/,https://www.ultimatelysocial.com/American-Football-themed-icons/?utm_source=any_settings_page&utm_campaign=American-Football_icons&utm_medium=banner,https://www.ultimatelysocial.com/American-Football-themed-icons/?utm_source=any_settings_page&utm_campaign=American-Football_icons&utm_medium=banner,,,,,
Tennis,tennis,,,Done,Please integrate into plugin,Are you a tennis fan?,https://www.ultimatelysocial.com/snooker-themed-icons/,https://www.ultimatelysocial.com/Tennis-themed-icons/?utm_source=any_settings_page&utm_campaign=Tennis_icons&utm_medium=banner,https://www.ultimatelysocial.com/Tennis-themed-icons/?utm_source=any_settings_page&utm_campaign=Tennis_icons&utm_medium=banner,,,,,
Volleyball,"volley, volleyball, pallavolo",,,Done,Please integrate into plugin,Are you a volleyball fan?,https://www.ultimatelysocial.com/tennis-themed-icons/,https://www.ultimatelysocial.com/Volleyball-themed-icons/?utm_source=any_settings_page&utm_campaign=Volleyball_icons&utm_medium=banner,https://www.ultimatelysocial.com/Volleyball-themed-icons/?utm_source=any_settings_page&utm_campaign=Volleyball_icons&utm_medium=banner,,,,,
Snooker,"snooker, snooker",,,Done,Please integrate into plugin,Are you into snooker?,https://www.ultimatelysocial.com/volleyball-themed-icons/,https://www.ultimatelysocial.com/Snooker-themed-icons/?utm_source=any_settings_page&utm_campaign=Snooker_icons&utm_medium=banner,https://www.ultimatelysocial.com/Snooker-themed-icons/?utm_source=any_settings_page&utm_campaign=Snooker_icons&utm_medium=banner,,,,,
DIY,"do-it-yourself, doityourself, lifehack, lifehacker, lifehackers, mrfixit, mrfix-it","DIY, repair, repairing, repair",,Done,Please integrate into plugin,Your site is about DIY,https://www.ultimatelysocial.com/diy-themed-icons/,https://www.ultimatelysocial.com/DIY-themed-icons/?utm_source=any_settings_page&utm_campaign=DIY_icons&utm_medium=banner,https://www.ultimatelysocial.com/DIY-themed-icons/?utm_source=any_settings_page&utm_campaign=DIY_icons&utm_medium=banner,,,,,
Video,"Movie, Cinema, filmaker, filmakers","TV, Film, video, videos","montevideo, videogame, videogames",Done,Please integrate into plugin,Is your site about video entertainment?,https://www.ultimatelysocial.com/video-themed-icons/,https://www.ultimatelysocial.com/Video-themed-icons/?utm_source=any_settings_page&utm_campaign=Video_icons&utm_medium=banner,https://www.ultimatelysocial.com/Video-themed-icons/?utm_source=any_settings_page&utm_campaign=Video_icons&utm_medium=banner,,,,,
Law,"attorney, attorneys, lawyer, lawyers, tribunal, tribunals, abogado, adwokat","law, laws, judge, judges",,Done,Please integrate into plugin,Are you a lawyer?,https://www.ultimatelysocial.com/law-themed-icons/,https://www.ultimatelysocial.com/Law-themed-icons/?utm_source=any_settings_page&utm_campaign=Law_icons&utm_medium=banner,https://www.ultimatelysocial.com/Law-themed-icons/?utm_source=any_settings_page&utm_campaign=Law_icons&utm_medium=banner,,,,,
Occult,"paranormal, occult, occultism, illusionism, illusionist, parapsychology","ghost, ghosts, haunted, ",ghostscript,Done,Please integrate into plugin,Is your site about paranormal?,https://www.ultimatelysocial.com/occult-themed-icons/,https://www.ultimatelysocial.com/Occult-themed-icons/?utm_source=any_settings_page&utm_campaign=Occult_icons&utm_medium=banner,https://www.ultimatelysocial.com/Occult-themed-icons/?utm_source=any_settings_page&utm_campaign=Occult_icons&utm_medium=banner,,,,,
Toys,"LEGO, Playmobil, monopoly, boardgames, board-games","toys, toy, kid, kids","sextoy, sextoys",Done,Please integrate into plugin,Are you into toys?,https://www.ultimatelysocial.com/toys-themed-icons/,https://www.ultimatelysocial.com/Toys-themed-icons/?utm_source=any_settings_page&utm_campaign=Toys_icons&utm_medium=banner,https://www.ultimatelysocial.com/Toys-themed-icons/?utm_source=any_settings_page&utm_campaign=Toys_icons&utm_medium=banner,,,,,
Fishing,"fishing, fisherman, fishermans",,,Done,Please integrate into plugin,Do you love fishing?,https://www.ultimatelysocial.com/fishing-themed-icons/,https://www.ultimatelysocial.com/Fishing-themed-icons/?utm_source=any_settings_page&utm_campaign=Fishing_icons&utm_medium=banner,https://www.ultimatelysocial.com/Fishing-themed-icons/?utm_source=any_settings_page&utm_campaign=Fishing_icons&utm_medium=banner,,,,,
Fantasy,"Elves, fairy, fairies","fantasy, dungeon, d&d, dungeons, dragon, dragons, dragoon, dragoons",,Done,Please integrate into plugin,Are you a fantasy geek?,https://www.ultimatelysocial.com/fantasy-themed-icons/,https://www.ultimatelysocial.com/Fantasy-themed-icons/?utm_source=any_settings_page&utm_campaign=Fantasy_icons&utm_medium=banner,https://www.ultimatelysocial.com/Fantasy-themed-icons/?utm_source=any_settings_page&utm_campaign=Fantasy_icons&utm_medium=banner,,,,,
Scifi,"sciencefiction, science-fiction, scifi, sci-fi, starship, starships, spaceship, spaceships, startrek, starwars",,,Done,Please integrate into plugin,Are you a sci-fi geek?,https://www.ultimatelysocial.com/scifi-themed-icons/,https://www.ultimatelysocial.com/Scifi-themed-icons/?utm_source=any_settings_page&utm_campaign=Scifi_icons&utm_medium=banner,https://www.ultimatelysocial.com/Scifi-themed-icons/?utm_source=any_settings_page&utm_campaign=Scifi_icons&utm_medium=banner,,,,,
Shopping,"ecommerce, e-commerce, voucher, coupon, boutique, outlet","shop, shops, shopper, shoppers, shopping, shoppings","photoshop, photoshops, photoshopper, photoshoppers,photoshopping, photoshoppings",Done,Please integrate into plugin,Is your site about ecommerce?,https://www.ultimatelysocial.com/shopping-themed-icons/,https://www.ultimatelysocial.com/Shopping-themed-icons/?utm_source=any_settings_page&utm_campaign=Shopping_icons&utm_medium=banner,https://www.ultimatelysocial.com/Shopping-themed-icons/?utm_source=any_settings_page&utm_campaign=Shopping_icons&utm_medium=banner,,,,,
Dinosaurs,"paleontology, palaeontology, paleontologist, dinosaur, dinosaurs, pterosaur, pterosaurs, jurassic, triassic, cretaceous, mesozoic",,,Done,Please integrate into plugin,Do you love dinosaurs?,https://www.ultimatelysocial.com/dinosaurs-themed-icons/,https://www.ultimatelysocial.com/Dinosaurs-themed-icons/?utm_source=any_settings_page&utm_campaign=Dinosaurs_icons&utm_medium=banner,https://www.ultimatelysocial.com/Dinosaurs-themed-icons/?utm_source=any_settings_page&utm_campaign=Dinosaurs_icons&utm_medium=banner,,,,,
Vegetables,"vegetables, vegetarian, veggie, vegan, verdure, verdura, legume, salad, aubergine, beet, broccoli, cabbage, pepper, cauliflower, cucumber, garlic, potato, olive, onion, pumpkin, squash ",,"beetribe, beetravel, beetribes, beetravels",Done,Please integrate into plugin,Do you love vegan cuisine?,https://www.ultimatelysocial.com/vegetables-themed-icons/,https://www.ultimatelysocial.com/Vegetables-themed-icons/?utm_source=any_settings_page&utm_campaign=Vegetables_icons&utm_medium=banner,https://www.ultimatelysocial.com/Vegetables-themed-icons/?utm_source=any_settings_page&utm_campaign=Vegetables_icons&utm_medium=banner,,,,,
Fruits," grape, grapes, pommegrenade, peach, strawberry, strawberries, pineapple, watermelon, frutta, fruity","mango, mangoes, fruit, fruits,",,Done,Please integrate into plugin,Is your website all fruity?,https://www.ultimatelysocial.com/fruits-themed-icons/,https://www.ultimatelysocial.com/Fruits-themed-icons/?utm_source=any_settings_page&utm_campaign=Fruits_icons&utm_medium=banner,https://www.ultimatelysocial.com/Fruits-themed-icons/?utm_source=any_settings_page&utm_campaign=Fruits_icons&utm_medium=banner,,,,,
